name,region_id,jumps_to_jita,security
Q4C-S5,Scalding Pass,30,-0.68
B-1UJC,Scalding Pass,32,-0.53
Q-NA5H,Scalding Pass,29,-0.72
4-CM8I,Scalding Pass,31,-0.51
ZDB-HT,Scalding Pass,31,-0.58
1QZ-Y9,Scalding Pass,31,-0.44
HJ-BCH,Scalding Pass,30,-0.03
QPTT-F,Scalding Pass,31,-0.02
9M-M0P,Scalding Pass,32,-0.01
9BC-EB,Scalding Pass,32,-0.02
WFFE-4,Scalding Pass,31,-0.02
71-UTX,Scalding Pass,32,-0.03
PU-UMM,Scalding Pass,32,-0.01
6-KPAB,Scalding Pass,33,-0.01
Y5-E1U,Scalding Pass,31,-0.03
4-43BW,Scalding Pass,31,-0.35
8CN-CH,Scalding Pass,32,-0.32
V-F6DQ,Scalding Pass,30,-0.29
3S-6VU,Scalding Pass,31,-0.21
1-7HVI,Scalding Pass,31,-0.40
OX-S7P,Scalding Pass,32,-0.46
KDG-TA,Insmother,34,-0.18
KD-KPR,Insmother,38,-0.42
PT-21C,Insmother,38,-0.18
Z182-R,Insmother,35,-0.22
EKPB-3,Insmother,36,-0.36
5M2-KP,Insmother,37,-0.40
TK-DLH,Insmother,37,-0.31
C8H5-X,Insmother,34,-0.15
O-7LAI,Insmother,36,-0.08
7L3-JS,Insmother,35,-0.12
WF4C-8,Insmother,36,-0.17
TZN-2V,Insmother,35,-0.15
8EF-58,Insmother,36,-0.28
4DS-OI,Insmother,35,-0.20
XQP-9C,Insmother,34,-0.16
W-6GBI,Insmother,35,-0.20
XKH-6O,Insmother,36,-0.15
S0U-MO,Insmother,37,-0.25
F39H-1,Insmother,37,-0.17
V-QXXK,Insmother,36,-0.23
2-Q4YG,Insmother,33,-0.11
2JT-3Q,Insmother,32,-0.10
I3CR-F,Insmother,33,-0.16
7-JT09,Insmother,32,-0.09
AGCP-I,Insmother,33,-0.14
M4-GJ6,Insmother,33,-0.16
5-2PQU,Insmother,31,-0.08
SN9-3Z,Insmother,33,-0.14
6BJH-3,Insmother,32,-0.05
U-UTU9,Insmother,34,-0.04
1TG7-W,Insmother,34,-0.06
QYD-WK,Insmother,33,-0.04
R959-U,Insmother,33,-0.06
A-TJ0G,Insmother,34,-0.09
88A-RA,Insmother,30,-0.29
8G-2FP,Insmother,31,-0.21
C-J6MT,Insmother,29,-0.29
78-0R6,Insmother,30,-0.26
MSG-BZ,Insmother,30,-0.28
8-WYQZ,Insmother,30,-0.23
4M-QXK,Insmother,30,-0.15
X5-0EM,Insmother,32,-0.25
G-EURJ,Insmother,32,-0.29
SHBF-V,Insmother,32,-0.29
RERZ-L,Insmother,31,-0.22
0UBC-R,Insmother,30,-0.21
3U-48K,Insmother,31,-0.21
EFM-C4,Insmother,29,-0.48
YPW-M4,Insmother,28,-0.54
Q7-FZ8,Insmother,29,-0.55
L5-UWT,Insmother,29,-0.65
74-VZA,Insmother,27,-0.72
I-1QKL,Insmother,28,-0.58
GK5Z-T,Insmother,30,-0.53
RQN-OO,Insmother,29,-0.39
67Y-NR,Insmother,29,-0.26
GDHN-K,Insmother,28,-0.37
QTME-D,Insmother,30,-0.45
A24L-V,Insmother,30,-0.48
4CJ-AC,Insmother,30,-0.20
EUU-4N,Insmother,34,-0.68
Q-3HS5,Insmother,33,-0.58
3AE-CP,Insmother,34,-0.67
0-VG7A,Insmother,34,-0.43
9OLQ-6,Insmother,35,-0.79
MOCW-2,Insmother,36,-0.82
ZO-4AR,Insmother,32,-0.29
MJ-LGH,Insmother,31,-0.26
F2A-GX,Insmother,33,-0.26
RD-FWY,Insmother,34,-0.18
VBPT-T,Insmother,34,-0.32
KS-1TS,Insmother,35,-0.45
X0-6LH,Insmother,31,-0.71
FN0-QS,Insmother,32,-0.85
F3-8X2,Insmother,30,-0.54
N7-BIY,Insmother,32,-0.65
TTP-2B,Insmother,32,-0.93
LVL-GZ,Insmother,33,-0.96
EJ48-O,Insmother,33,-0.10
ROJ-B0,Insmother,32,-0.19
DFH-V5,Insmother,31,-0.32
B-II34,Insmother,33,-0.09
4LB-EL,Insmother,30,-0.39
UDE-FX,Insmother,31,-0.41
5IH-GL,Insmother,30,-0.51
C1G-XC,Insmother,29,-0.56
04-EHC,Insmother,31,-0.56
3-0FYP,Insmother,30,-0.49
N-O53U,Insmother,37,-0.43
HZ-O18,Insmother,36,-0.42
D-P1EH,Insmother,35,-0.54
74L2-U,Insmother,34,-0.53
HL-VZX,Insmother,33,-0.50
38NZ-1,Insmother,33,-0.54
W-MF6J,Insmother,32,-0.51
O-9G5Y,Insmother,38,-0.52
27-HP0,Insmother,39,-0.64
X1-IZ0,Insmother,40,-0.59
RZ-TI6,Insmother,37,-0.77
FX4L-2,Insmother,36,-0.76
1ZF-PJ,Insmother,35,-0.86
HFC-AQ,Insmother,34,-0.93
0-6VZ5,Insmother,36,-0.50
GB-6X5,Insmother,37,-0.52
7EX-14,Insmother,38,-0.56
N7-KGJ,Insmother,38,-0.59
VD-8QY,Insmother,37,-0.56
J-ZYSZ,Insmother,36,-0.51
5C-RPA,Insmother,35,-0.50
CR2-PQ,Insmother,34,-0.50
E-OGL4,Tribute,9,-0.29
J-GAMP,Tribute,9,-0.24
M-OEE8,Tribute,8,-0.22
V0DF-2,Tribute,9,-0.21
FY0W-N,Tribute,9,-0.19
MJI3-8,Tribute,10,-0.20
A-DDGY,Tribute,15,-0.21
F-RT6Q,Tribute,13,-0.25
B-S42H,Tribute,14,-0.22
NL6V-7,Tribute,15,-0.26
F-749O,Tribute,14,-0.24
0-YMBJ,Tribute,16,-0.16
UMI-KK,Tribute,15,-0.17
GKP-YT,Tribute,15,-0.21
AW1-2I,Tribute,14,-0.22
15W-GC,Tribute,10,-0.32
N-FK87,Tribute,12,-0.26
C2X-M5,Tribute,11,-0.37
MSHD-4,Tribute,12,-0.44
H-W9TY,Tribute,13,-0.46
PNDN-V,Tribute,11,-0.31
D7-ZAC,Tribute,14,-0.52
SH1-6P,Tribute,15,-0.57
TRKN-L,Tribute,16,-0.68
O-0ERG,Tribute,16,-0.73
WH-JCA,Tribute,15,-0.73
Q-CAB2,Tribute,16,-0.78
PBD-0G,Tribute,14,-0.23
L-1HKR,Tribute,14,-0.25
9GI-FB,Tribute,13,-0.26
3G-LHB,Tribute,13,-0.21
DBT-GB,Tribute,12,-0.25
U-W3WS,Tribute,14,-0.16
DL1C-E,Tribute,16,-0.13
YLS8-J,Tribute,17,-0.11
2ISU-Y,Tribute,17,-0.13
X-CFN6,Tribute,18,-0.10
9SL-K9,Tribute,19,-0.10
Y-PZHM,Tribute,20,-0.09
OY-UZ1,Tribute,18,-0.13
S8-NSQ,Tribute,15,-0.20
GIH-ZG,Tribute,16,-0.24
V7-FB4,Tribute,17,-0.25
XD-TOV,Tribute,17,-0.27
K-6SNI,Tribute,18,-0.27
L-VXTK,Tribute,17,-0.27
C8VC-S,Tribute,18,-0.27
W-UQA5,Tribute,19,-0.30
W6VP-Y,Tribute,16,-0.78
IMK-K1,Tribute,17,-0.78
NJ4X-S,Tribute,18,-0.72
F-G7BO,Tribute,19,-0.59
2CG-5V,Tribute,20,-0.61
QFF-O6,Tribute,21,-0.54
NIH-02,Great Wildlands,20,-0.04
JPL-RA,Great Wildlands,20,-0.10
NK-7XO,Great Wildlands,19,-0.02
E02-IK,Great Wildlands,18,-0.06
N-DQ0D,Great Wildlands,21,-0.07
M-MD3B,Great Wildlands,19,-0.12
FVXK-D,Great Wildlands,26,-0.38
6EG7-R,Great Wildlands,25,-0.71
56D-TC,Great Wildlands,24,-0.70
2X7Z-L,Great Wildlands,25,-0.55
8DL-CP,Great Wildlands,25,-0.84
UMDQ-6,Great Wildlands,26,-0.87
504Z-V,Great Wildlands,23,-0.09
F8K-WQ,Great Wildlands,22,-0.02
AB-FZE,Great Wildlands,23,-0.11
N-6Z8B,Great Wildlands,24,-0.08
YUY-LM,Great Wildlands,23,-0.02
NE-3GR,Great Wildlands,23,-0.03
Y4-GQV,Great Wildlands,23,-0.02
7-IDWY,Great Wildlands,24,-0.01
AZF-GH,Great Wildlands,22,-0.03
UT-UZB,Great Wildlands,24,-0.01
M-EKDF,Great Wildlands,24,0.00
CRXA-Y,Great Wildlands,21,-0.08
VXO-OM,Great Wildlands,23,0.00
BY5-V8,Great Wildlands,25,-0.01
TET3-B,Great Wildlands,25,-0.02
VKU-BG,Great Wildlands,23,-0.55
WPR-EI,Great Wildlands,23,-0.46
0NV-YU,Great Wildlands,22,-0.29
V-2GYS,Great Wildlands,22,-0.19
168-6H,Great Wildlands,23,-0.13
W-RFUO,Great Wildlands,21,-0.16
AI-EVH,Great Wildlands,20,-0.06
F-MKH3,Great Wildlands,21,-0.12
ZM-DNR,Great Wildlands,22,-0.07
GF-3FL,Great Wildlands,25,-0.43
ZJ-GOU,Great Wildlands,25,-0.15
QQ3-YI,Great Wildlands,26,-0.25
9-34L5,Great Wildlands,26,-0.08
0R-GZQ,Great Wildlands,26,-0.44
QM-20X,Great Wildlands,24,-0.15
8YC-AN,Great Wildlands,17,-0.15
7Q-8Z2,Great Wildlands,16,-0.30
SUR-F7,Great Wildlands,17,-0.44
OK-6XN,Great Wildlands,18,-0.56
Q2FL-T,Great Wildlands,18,-0.25
Y7-XFD,Great Wildlands,19,-0.05
U3K-4A,Great Wildlands,19,-0.75
P1T-LP,Great Wildlands,22,-0.06
R-ESG0,Great Wildlands,23,-0.05
CI4M-T,Great Wildlands,24,-0.03
I-QRJA,Great Wildlands,25,-0.07
M-YWAL,Great Wildlands,26,-0.23
DE71-9,Great Wildlands,26,-0.14
7JF-0Z,Great Wildlands,27,-0.27
IX8-JB,Great Wildlands,25,-0.04
WTIE-6,Great Wildlands,24,-0.03
Y-DSSK,Great Wildlands,26,-0.02
F5-CGW,Great Wildlands,27,0.00
H9S-WC,Great Wildlands,28,-0.01
B-ROFP,Great Wildlands,27,-0.05
1L-AED,Great Wildlands,25,-0.07
1C-953,Great Wildlands,26,-0.07
SL-YBS,Great Wildlands,21,-0.03
UNJ-GX,Great Wildlands,22,-0.01
0PI4-E,Great Wildlands,21,0.00
6WT-BE,Great Wildlands,21,0.00
L1S-G1,Great Wildlands,23,-0.02
9SNK-O,Great Wildlands,20,0.00
B-VIP9,Great Wildlands,19,0.00
LXTC-S,Great Wildlands,22,-0.03
WE3-BX,Great Wildlands,23,-0.02
H7O-JZ,Great Wildlands,24,-0.01
H-8F5Q,Great Wildlands,24,-0.02
O-RXCZ,Great Wildlands,25,-0.01
4M-P1I,Great Wildlands,26,-0.03
P7UZ-T,Great Wildlands,25,-0.22
PUZ-IO,Great Wildlands,24,-0.19
HB-1NJ,Great Wildlands,23,-0.13
EOE3-N,Great Wildlands,26,-0.17
F7A-MR,Great Wildlands,22,-0.06
O-8SOC,Great Wildlands,24,-0.10
OJOS-T,Great Wildlands,28,-0.31
V89M-R,Great Wildlands,29,-0.55
66U-1P,Great Wildlands,30,-0.50
BRT-OP,Great Wildlands,31,-0.46
JUK0-1,Great Wildlands,32,-0.66
V-IH6B,Great Wildlands,33,-1.00
52V6-B,Great Wildlands,25,-0.03
PUC-JZ,Great Wildlands,26,-0.03
SB-23C,Great Wildlands,25,-0.02
5FCV-A,Great Wildlands,25,-0.01
O-OVOQ,Great Wildlands,24,-0.01
92-B0X,Great Wildlands,24,-0.01
0-3VW8,Great Wildlands,21,-0.03
28-QWU,Great Wildlands,20,-0.05
UD-AOK,Great Wildlands,20,-0.11
M9U-75,Great Wildlands,21,-0.14
N-RAEL,Great Wildlands,19,-0.03
K-IYNW,Great Wildlands,22,-0.12
H-ADOC,Curse,31,-0.12
G-G78S,Curse,32,-0.16
UW9B-F,Curse,33,-0.13
ZZ-ZWC,Curse,33,-0.13
OSY-UD,Curse,32,-0.16
K-MGJ7,Curse,34,-0.04
JWJ-P1,Curse,29,-0.22
V-IUEL,Curse,29,-0.14
0SHT-A,Curse,28,-0.16
D87E-A,Curse,29,-0.06
K-B2D3,Curse,28,-0.07
PO4F-3,Curse,29,-0.09
J7A-UR,Curse,30,-0.30
5E-VR8,Curse,29,-0.07
V7D-JD,Curse,30,-0.04
HLW-HP,Curse,26,-0.02
8G-MQV,Curse,28,-0.03
RA-NXN,Curse,27,-0.03
VOL-MI,Curse,27,-0.05
KLMT-W,Curse,25,-0.02
XX9-WV,Curse,28,-0.06
AAM-1A,Curse,28,-0.02
EW-JR5,Curse,29,-0.01
YKE4-3,Curse,27,-0.01
CL-85V,Curse,28,-0.02
K-QWHE,Curse,27,-0.02
MDD-79,Curse,30,-0.01
RMOC-W,Curse,26,-0.02
ES-UWY,Curse,31,-0.11
S1DP-Y,Curse,30,-0.09
Y-DW5K,Curse,30,-0.10
M-N7WD,Curse,29,-0.08
QFEW-K,Curse,31,-0.13
CVY-UC,Curse,32,-0.20
EQX-AE,Curse,32,-0.19
G-R4W1,Curse,27,-0.01
BPK-XK,Curse,28,-0.04
LJ-YSW,Curse,27,-0.01
Y-K50G,Curse,27,-0.03
K88X-J,Curse,28,-0.13
G-0Q86,Curse,26,-0.02
CL-1JE,Curse,28,-0.06
J4UD-J,Curse,29,-0.12
Hemin,Curse,25,-0.01
Utopia,Curse,24,-0.02
Jorund,Curse,24,-0.01
Doril,Curse,23,-0.01
Litom,Curse,25,-0.04
Farit,Curse,25,-0.01
Jamunda,Curse,26,-0.04
TD-4XL,Malpais,,-0.15
IBOX-2,Malpais,,-0.11
8AB-Q4,Malpais,,-0.44
VW-PXL,Malpais,,-0.08
JA-G0T,Malpais,,-0.53
IF-KD1,Malpais,,-0.09
7-YHRX,Malpais,,-0.62
Y6-9LF,Malpais,,-0.75
X-PQEX,Malpais,,-0.54
N-H95C,Malpais,,-0.57
NSI-MW,Malpais,,-0.90
N-YLOE,Malpais,,-0.33
NBO-O0,Malpais,,-0.14
F-TQWO,Malpais,,-0.50
0-TRV1,Malpais,,-0.26
13-49W,Malpais,,-0.16
6UT-1K,Malpais,,-0.64
O8W-5O,Malpais,,-0.14
LH-PLU,Malpais,,-0.59
AZA-QE,Malpais,,-0.74
8-2JZA,Malpais,,-0.43
ZT-L3S,Malpais,,-0.17
VVB-QH,Malpais,,-0.37
Z-DDVJ,Malpais,,-0.18
7-2Z93,Malpais,,-0.64
B-VFDD,Malpais,,-0.62
A0M-R8,Malpais,,-0.67
LY-WRW,Malpais,,-0.38
9F-ERQ,Malpais,,-0.53
QCGG-Q,Malpais,,-0.63
1NZV-7,Malpais,,-0.64
NIM-FY,Malpais,,-0.42
DAI-SH,Malpais,,-0.32
V3P-AZ,Malpais,,-0.49
C-KW6X,Malpais,,-0.29
X1W-AL,Malpais,,-0.24
F-WZYG,Malpais,,-0.18
S-R9J2,Malpais,,-0.77
XU-BF8,Malpais,,-0.86
RIU-GC,Malpais,,-0.47
Z0H2-4,Malpais,,-0.20
63-7Q6,Malpais,,-0.18
XCZ5-Y,Malpais,,-0.54
NRD-5Q,Malpais,,-0.50
W5-205,Malpais,,-0.16
T-4H0B,Malpais,,-0.27
Z-EKCY,Malpais,,-0.19
SH-YZY,Malpais,,-0.19
O7-RFZ,Malpais,,-0.20
CLW-SI,Malpais,,-0.22
5-A0PX,Malpais,,-0.33
R-RMDH,Malpais,,-0.19
2XI8-Y,Malpais,,-0.87
5B-YDD,Malpais,,-0.92
W-XY4J,Malpais,,-0.92
PWPY-4,Malpais,,-0.96
QZ1-OH,Malpais,,-0.97
Y-XZA7,Malpais,,-0.96
1-EVAX,Malpais,,-0.53
I8-AJY,Malpais,,-0.68
6-WMKE,Malpais,,-0.71
J-Z8C2,Malpais,,-0.67
XTVZ-E,Malpais,,-0.50
APES-G,Malpais,,-0.71
B2J-5N,Malpais,,-0.59
2Z-HPQ,Malpais,,-0.64
NBW-GD,Malpais,,-0.69
YM-SRU,Malpais,,-0.79
LO5-LN,Malpais,,-0.61
06-70G,Malpais,,-0.56
UYG-YX,Malpais,,-0.40
GL6S-2,Malpais,,-0.43
RUF3-O,Malpais,,-0.59
C-NMG9,Malpais,,-0.64
P3X-TN,Malpais,,-0.86
N6NK-J,Malpais,,-0.23
TP-APY,Malpais,,-0.28
9NI-FW,Malpais,,-0.65
H-EBQG,Malpais,,-0.64
DOA-YU,Malpais,,-0.14
ZOPZ-6,Malpais,,-0.08
863P-X,Malpais,,-0.14
ZO-YJZ,Malpais,,-0.18
6A-FUY,Malpais,,-0.17
HG-YEQ,Malpais,,-0.07
2FL-5W,Malpais,,-0.02
QSCO-D,Malpais,,-0.12
RXTY-4,Malpais,,-0.18
RSE-PT,Malpais,,-0.05
WVJU-4,Malpais,,-0.15
7T-0QS,Malpais,,-0.16
RWML-A,Malpais,,-0.16
V-JCJS,Malpais,,-0.10
8C-VE3,Malpais,,-0.18
S5W-1Z,Malpais,,-0.03
IL-OL1,Malpais,,-0.12
POQP-K,Malpais,,-0.12
FO9-FZ,Malpais,,-0.12
4QY-NT,Malpais,,-0.10
0-N1BJ,Malpais,,-0.13
T-8GWA,Malpais,,-0.13
UW-6MW,Malpais,,-0.18
F9E-KX,Catch,24,-0.25
9KOE-A,Catch,25,-0.05
U-QVWD,Catch,27,-0.07
B-3QPD,Catch,28,-0.08
36N-HZ,Catch,26,-0.06
SV5-8N,Catch,23,-0.21
HY-RWO,Catch,30,-0.08
WD-VTV,Catch,24,-0.09
HED-GP,Catch,22,-0.15
V-3YG7,Catch,29,-0.08
QSM-LM,Catch,27,-0.06
KDF-GY,Catch,30,-0.11
QBQ-RF,Catch,28,-0.05
9-8GBA,Catch,30,-0.14
6-K738,Catch,29,-0.05
ZXIC-7,Catch,29,-0.11
2J-WJY,Catch,30,-0.05
1P-WGB,Catch,27,-0.11
F4R2-Q,Catch,28,-0.17
K0CN-3,Catch,28,-0.11
WLAR-J,Catch,29,-0.30
L7XS-5,Catch,29,-0.15
VA6-DR,Catch,29,-0.12
S-U2VD,Catch,32,-0.10
GE-94X,Catch,31,-0.15
GMLH-K,Catch,31,-0.06
W9-DID,Catch,30,-0.35
KW-I6T,Catch,29,-0.23
EX-0LQ,Catch,28,-0.14
MB-NKE,Catch,30,-0.45
G-7WUF,Catch,31,-0.53
6-MM99,Catch,31,-0.47
JBY6-F,Catch,31,-0.52
FZ-6A5,Catch,32,-0.37
RNF-YH,Catch,32,-0.65
I-8D0G,Catch,31,-0.06
R-K4QY,Catch,31,-0.04
JWZ2-V,Catch,34,-0.05
OGL8-Q,Catch,32,-0.05
GJ0-OJ,Catch,33,-0.05
A-803L,Catch,32,-0.04
WQH-4K,Catch,30,-0.06
J-ODE7,Catch,33,-0.04
Q-S7ZD,Catch,34,-0.03
6X7-JO,Catch,31,-0.07
GE-8JV,Catch,30,-0.21
3-OKDA,Catch,31,-0.17
3GD6-8,Catch,32,-0.22
4M-HGL,Catch,32,-0.17
MY-W1V,Catch,32,-0.09
AX-DOT,Catch,31,-0.26
YHN-3K,Catch,31,-0.12
CB4-Q2,Catch,27,-0.21
CBL-XP,Catch,26,-0.28
WJ-9YO,Catch,28,-0.22
UQ-PWD,Catch,27,-0.34
N-8BZ6,Catch,28,-0.15
A-VILQ,Catch,29,-0.08
X3FQ-W,Catch,30,-0.09
3-SFWG,Catch,30,-0.08
MUXX-4,Catch,32,-0.36
E1-4YH,Catch,33,-0.56
B-XJX4,Catch,34,-0.68
AOK-WQ,Catch,34,-0.71
E3-SDZ,Catch,35,-0.76
7LHB-Z,Catch,34,-0.61
8B-2YA,Catch,33,-0.08
SNFV-I,Catch,34,-0.09
HP-64T,Catch,35,-0.09
V2-VC2,Catch,35,-0.11
L-B55M,Catch,36,-0.15
CX65-5,Catch,35,-0.09
JA-O6J,Catch,36,-0.11
ZQ-Z3Y,Catch,21,-0.09
G-AOTH,Catch,22,-0.14
TA3T-3,Catch,23,-0.15
E-YJ8G,Catch,24,-0.12
J6QB-P,Catch,24,-0.19
KA6D-K,Catch,25,-0.24
7MD-S1,Catch,25,-0.22
ERVK-P,Catch,24,-0.28
UL-7I8,Catch,23,-0.30
BR-N97,Catch,25,-0.25
IS-R7P,Catch,24,-0.14
S25C-K,Catch,26,-0.27
K717-8,Catch,37,-0.25
NH-1X6,Catch,38,-0.24
KH0Z-0,Catch,38,-0.18
5-N2EY,Catch,37,-0.21
KB-U56,Catch,37,-0.27
JGW-OT,Catch,36,-0.37
UCG4-B,Catch,35,-0.50
BUZ-DB,Catch,34,-0.53
QETZ-W,Catch,33,-0.40
WFC-MY,Catch,33,-0.46
Q-U96U,Catch,32,-0.50
X4-WL0,Catch,33,-0.51
W-MPTH,Catch,34,-0.62
4NBN-9,Catch,34,-0.63
EX6-AO,Catch,31,-0.53
CZK-ZQ,Catch,35,-0.66
CNC-4V,Catch,36,-0.71
Y-PNRL,Catch,37,-0.77
FAT-6P,Catch,37,-0.64
6BPS-T,Catch,38,-0.83
25S-6P,Catch,38,-0.95
RR-D05,Catch,38,-0.98
4-07MU,Catch,37,-1.00
Y-W1Q3,Venal,16,-0.16
Y6-HPG,Venal,17,-0.11
Z-GY5S,Venal,18,-0.11
KK-L97,Venal,18,-0.12
R-KZK7,Venal,19,-0.11
9-R6GU,Venal,20,-0.10
N-Q5PW,Venal,19,-0.17
P-FSQE,Venal,20,-0.15
H-PA29,Venal,20,-0.24
1-Y6KI,Venal,20,-0.18
YP-J33,Venal,21,-0.14
D-8SI1,Venal,20,-0.13
9-266Q,Venal,19,-0.25
K3JR-J,Venal,21,-0.14
CSOA-B,Venal,22,-0.15
6W-HRH,Venal,23,-0.21
N5Y-4N,Venal,24,-0.25
MQFX-Q,Venal,25,-0.42
9-8BL8,Venal,26,-0.50
N6G-H3,Venal,18,-0.40
3A1P-N,Venal,17,-0.88
OZ-VAE,Venal,19,-0.31
A-AFGR,Venal,19,-0.40
92K-H2,Venal,19,-0.44
AA-YRK,Venal,20,-0.41
BV-1JG,Venal,20,-0.23
0-BFTQ,Venal,21,-0.17
SS-GED,Venal,22,-0.16
AJCJ-1,Venal,22,-0.15
6NJ8-V,Venal,21,-0.18
Y-4CFK,Venal,22,-0.19
HBD-CC,Venal,21,-0.12
P-GKF5,Venal,22,-0.13
E-7U8U,Venal,22,-0.13
0-XIDJ,Venal,23,-0.12
SBL5-R,Venal,22,-0.13
O-TVTD,Venal,24,-0.10
8CIX-S,Venal,25,-0.09
D-SKWC,Venal,22,-0.16
4RX-EE,Venal,23,-0.16
V3X-L8,Venal,24,-0.16
N0C-UN,Venal,25,-0.14
VG-6CH,Venal,25,-0.15
Z0-TJW,Venal,24,-0.16
QHJ-FW,Venal,23,-0.17
9IPC-E,Venal,24,-0.14
EIV-1W,Venal,24,-0.19
S-1ZXZ,Venal,25,-0.30
N-5476,Venal,26,-0.36
PZOZ-K,Venal,27,-0.40
W3KK-R,Venal,28,-0.53
92D-OI,Venal,27,-0.32
EK2-ET,Venal,28,-0.33
SE-SHZ,Venal,27,-0.47
JURU-T,Venal,22,-0.12
MC6-5J,Venal,23,-0.11
65V-RH,Venal,23,-0.27
4-7IL9,Venal,24,-0.10
2PLH-3,Venal,23,-0.14
RQ9-OZ,Venal,23,-0.16
B-CZXG,Venal,22,-0.24
0-O2UT,Venal,21,-0.42
Q61Y-F,Venal,22,-0.66
PF-QHK,Venal,26,-0.13
XW-6TC,Venal,27,-0.12
Q-7SUI,Venal,27,-0.18
VVD-O6,Venal,28,-0.12
6ZJ-SC,Venal,29,-0.13
P-VYVL,Venal,28,-0.13
HD-JVQ,Venal,29,-0.13
H-AJ27,Venal,28,-0.59
M2-2V1,Venal,29,-0.69
2TH-3F,Venal,29,-0.93
E1F-E5,Venal,30,-0.61
4S-PVC,Venal,31,-0.75
WLF-D3,Venal,30,-1.00
LHJ-2G,Venal,28,-0.17
SHJO-J,Venal,29,-0.12
6UQ-4U,Venal,29,-0.17
430-BE,Venal,29,-0.13
OJ-CT4,Venal,30,-0.07
AZ-UWB,Venal,31,-0.08
H-S5BM,Venal,31,-0.07
FHB-QA,Venal,20,-0.38
Z3U-GI,Venal,21,-0.60
B3QP-K,Venal,20,-0.77
GVZ-1W,Venal,21,-0.90
G9D-XW,Venal,19,-0.33
42XJ-N,Venal,20,-0.41
L-IE41,Venal,23,-0.66
VG-QW1,Venal,24,-0.77
2IBE-N,Venal,24,-0.50
YJ3-UT,Venal,25,-0.68
ZD4-G9,Venal,26,-0.62
C2-DDA,Venal,26,-0.80
Dantumi,Lonetrek,5,0.40
Antiainen,Lonetrek,7,0.56
Ossa,Lonetrek,6,0.53
Semiki,Lonetrek,8,0.59
Kiskoken,Lonetrek,8,0.52
Aurohunen,Lonetrek,4,0.38
Veisto,Lonetrek,2,0.84
Sobaseki,Lonetrek,1,0.84
Funtanainen,Lonetrek,2,0.86
Isikemi,Lonetrek,3,0.78
Uosusuokko,Lonetrek,4,0.69
Hageken,Lonetrek,5,0.60
Uemisaisen,Lonetrek,3,0.61
Sotrentaira,Lonetrek,4,0.51
Ouranienen,Lonetrek,4,0.69
Erenta,Lonetrek,4,0.63
Kino,Lonetrek,5,0.73
Raussinen,Lonetrek,5,0.45
Iidoken,Lonetrek,3,0.84
Tsuguwa,Lonetrek,4,0.77
Nourvukaiken,Lonetrek,3,0.82
Sarekuwa,Lonetrek,3,0.94
Ekura,Lonetrek,4,0.88
Tunttaras,Lonetrek,2,0.89
Vellaine,Lonetrek,3,0.58
Arvasaras,Lonetrek,4,0.52
Akonoinen,Lonetrek,4,0.49
Vaajaita,Lonetrek,5,0.46
Autaris,Lonetrek,4,0.47
Jan,Lonetrek,5,0.42
Saatuban,Lonetrek,3,0.55
Isikano,Lonetrek,3,0.68
Mara,Lonetrek,5,0.42
Isanamo,Lonetrek,2,0.64
Pakkonen,Lonetrek,4,0.42
Piekura,Lonetrek,4,0.51
Amsen,Lonetrek,3,1.00
Malkalen,Lonetrek,2,0.95
Korama,Lonetrek,3,0.77
Ylandoki,Lonetrek,3,0.83
Aakari,Lonetrek,4,0.66
Isseras,Lonetrek,4,0.56
Aunenen,Lonetrek,6,0.45
Elonaya,Lonetrek,5,0.67
Litiura,Lonetrek,4,0.49
Nonni,Lonetrek,5,0.51
Passari,Lonetrek,5,0.44
Piak,Lonetrek,6,0.74
Airkio,Lonetrek,3,0.85
Kakakela,Lonetrek,2,0.97
Kamokor,Lonetrek,3,0.69
Todaki,Lonetrek,3,1.00
Ruvas,Lonetrek,3,0.78
Umokka,Lonetrek,4,0.56
Kirras,Lonetrek,4,0.82
Autama,Lonetrek,5,0.78
Tsukuras,Lonetrek,5,0.73
Nani,Lonetrek,5,0.84
Ajanen,Lonetrek,6,0.63
Kuoka,Lonetrek,5,0.58
Liukikka,Lonetrek,7,0.56
Rauntaka,Lonetrek,8,0.53
Aikantoh,Lonetrek,8,0.65
Atai,Lonetrek,9,0.48
Daras,Lonetrek,8,0.36
Otalieto,Lonetrek,7,0.51
Iitanmadan,Lonetrek,9,0.31
Jotenen,Lonetrek,8,0.58
Haajinen,Lonetrek,7,0.80
Oipo,Lonetrek,8,0.76
Isinokka,Lonetrek,9,0.73
Yoma,Lonetrek,10,0.65
Ibura,Lonetrek,11,0.62
Torrinos,Lonetrek,12,0.52
Endatoh,Lonetrek,8,0.57
Aivoli,Lonetrek,9,0.58
Uesuro,Lonetrek,10,0.52
Oishami,Lonetrek,11,0.45
Elanoda,Lonetrek,11,0.51
Ohbochi,Lonetrek,10,0.41
Isie,Lonetrek,11,0.36
Tamo,Lonetrek,10,0.34
Nannaras,Lonetrek,11,0.39
Anin,Lonetrek,12,0.36
Karjataimon,Lonetrek,12,0.28
Tartoken,Lonetrek,13,0.12
Saranen,Lonetrek,13,0.10
Vuorrassi,Lonetrek,6,0.53
Oimmo,Lonetrek,7,0.46
Nalvula,Lonetrek,6,0.39
Otsasai,Lonetrek,7,0.35
Taisy,Lonetrek,7,0.33
